UMAP 1,UMAP 2,UMAP 3
5.576474,0.8437673,-13.398192
-2.5838797,-3.2160068,-11.126298
9.208112,14.609447,3.1622674
8.894159,13.827365,3.6544242
9.726268,13.776078,3.4316583
8.672698,13.677381,3.9377182
-9.412968,10.221287,0.31085932
-4.520383,-0.61977947,-12.382628
-0.5980111,11.626765,-10.339779
20.568237,-3.0099504,-1.8920163
4.9611335,4.978083,-2.0639923
10.608481,10.841278,-11.759439
10.594839,10.85518,-11.74587
10.527075,10.921744,-11.67758
21.086382,-0.8264898,-14.066601
12.505713,-0.080215864,-14.578577
7.721655,-11.357615,12.366816
15.719824,-4.272483,9.997677
5.5676694,0.86557823,-13.423532
-2.5983539,-3.1911688,-11.131601
9.067804,13.949688,3.0967784
8.571435,14.429326,3.5511675
9.341533,13.349259,4.32693
-9.029377,10.136856,0.71735954
-11.41592,-2.5564942,3.7831092
-11.425856,-2.5292015,3.8089027
16.668879,-8.359381,-10.8331175
-6.308327,-5.7982345,7.134107
8.343169,-2.1996326,12.808346
-5.4656053,11.485852,-15.132054
16.161406,5.1156225,-4.858468
1.2498856,-15.224787,1.3234556
-4.1249175,-11.406006,-7.8146353
11.2479515,-16.716135,6.1725416
19.534336,-6.60585,4.304462
10.120182,-13.306207,-9.856116
-5.3965464,17.453959,-7.998468
-5.429435,17.429096,-7.9319673
-5.478322,17.367807,-7.8305893
13.599156,17.831804,-15.902624
-9.176988,10.161384,0.26603112
-4.3072524,5.1629314,11.889856
22.183676,9.042051,-3.4550638
-4.9712653,14.85514,6.62905
1.7342716,3.6804857,-0.4821208
-10.858061,6.5823984,13.880378
20.345745,1.0968491,-8.101587
21.106066,-0.7485776,-13.910128
12.601856,-0.011050609,-14.689695
7.5841904,-11.381886,12.506937
-1.6559778,10.538543,17.112522
8.390105,13.965082,3.1014237
9.230159,14.0029,4.189323
8.831216,13.983193,4.289478
8.977433,14.250735,3.8121192
8.349362,14.334205,3.6654885
9.628343,13.578147,3.800232
-9.199804,10.063059,0.17255725
-0.60066485,11.620097,-10.333017
20.567438,-3.0107815,-1.8928308
13.795072,-1.6783719,13.9272375
1.8075573,3.751395,-0.40813425
-3.949356,17.366032,-5.4072847
-3.949813,17.366024,-5.4079823
16.56861,9.604733,-1.5937891
10.745362,-11.251018,-3.0947695
9.548621,14.641247,3.3757524
8.967035,14.061539,4.136428
8.938121,14.3875475,3.8745492
9.3664875,13.682294,3.1947694
8.780695,14.025075,3.3603423
9.08526,13.247502,3.535584
